id_incidencia,id_empleado,sucursal,ciudad,tipo_incidencia,id_cliente,tipo_cliente,fecha_creacion,fecha_finalizacion,estado,indice_satisfaccion
201,EMP005,Sucursal_B,Barcelona,Instalación Software,CL001,Premium,2024-05-03 09:25:33,2024-05-03 10:40:56,Cerrado,4
202,EMP006,Sucursal_B,Barcelona,Configuración Red,CL002,Basico,2024-05-03 12:45:29,2024-05-03 14:10:56,Cerrado,3
203,EMP007,Sucursal_B,Barcelona,Problema Software,CL003,Empresarial,2024-05-03 15:10:14,2024-05-03 16:00:01,Cerrado,5
204,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL004,Basico,2024-05-03 17:35:38,2024-05-03 19:50:13,Cerrado,2
205,EMP009,Sucursal_C,Valencia,Consulta Factura,CL005,Premium,2024-05-04 08:20:53,2024-05-04 08:36:08,Cerrado,4
206,EMP010,Sucursal_C,Valencia,Error Sistema,CL006,Empresarial,2024-05-04 10:55:19,2024-05-04 13:10:44,Cerrado,3
207,EMP011,Sucursal_C,Valencia,Instalación Software,CL007,Basico,2024-05-04 14:05:37,2024-05-04 15:20:54,Cerrado,4
208,EMP012,Sucursal_C,Valencia,Configuración Red,CL008,Premium,2024-05-04 16:30:48,2024-05-04 17:55:15,Cerrado,5
209,EMP001,Sucursal_A,Madrid,Problema Software,CL009,Empresarial,2024-05-05 09:45:22,2024-05-05 10:35:09,Cerrado,5
210,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL010,Basico,2024-05-05 12:00:47,2024-05-05 14:15:02,Cerrado,2
211,EMP003,Sucursal_A,Madrid,Consulta Factura,CL001,Premium,2024-05-06 14:30:31,2024-05-06 14:45:46,Cerrado,4
212,EMP004,Sucursal_A,Madrid,Error Sistema,CL002,Basico,2024-05-06 16:05:58,2024-05-06 17:40:23,Cerrado,3
213,EMP005,Sucursal_B,Barcelona,Instalación Software,CL003,Empresarial,2024-05-07 09:15:44,2024-05-07 10:30:17,Cerrado,5
214,EMP006,Sucursal_B,Barcelona,Configuración Red,CL004,Basico,2024-05-07 11:40:29,2024-05-07 13:05:56,Cerrado,3
215,EMP007,Sucursal_B,Barcelona,Problema Software,CL005,Premium,2024-05-07 15:00:14,2024-05-07 15:50:01,Cerrado,4
216,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL006,Empresarial,2024-05-07 16:25:38,2024-05-07 18:40:13,Cerrado,5
217,EMP009,Sucursal_C,Valencia,Consulta Factura,CL007,Basico,2024-05-08 08:35:53,2024-05-08 08:51:08,Cerrado,4
218,EMP010,Sucursal_C,Valencia,Error Sistema,CL008,Premium,2024-05-08 10:10:19,2024-05-08 12:25:44,Cerrado,5
219,EMP011,Sucursal_C,Valencia,Instalación Software,CL009,Empresarial,2024-05-08 13:30:37,2024-05-08 14:45:54,Cerrado,5
220,EMP012,Sucursal_C,Valencia,Configuración Red,CL010,Basico,2024-05-08 15:50:48,2024-05-08 17:15:15,Cerrado,3
221,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-06-10 09:10:22,2024-06-10 10:00:09,Abierto,
222,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-06-10 11:25:47,2024-06-10 13:40:02,Abierto,
223,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-06-10 14:50:31,2024-06-10 15:05:46,Abierto,
224,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-06-10 16:15:58,2024-06-10 17:50:23,Abierto,
225,EMP005,Sucursal_B,Barcelona,Instalación Software,CL005,Premium,2024-06-11 09:35:44,2024-06-11 10:50:17,Abierto,
226,EMP006,Sucursal_B,Barcelona,Configuración Red,CL006,Empresarial,2024-06-11 12:45:29,2024-06-11 14:10:56,Abierto,
227,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-06-12 08:55:33,2024-06-12 09:45:20,Cerrado,4
228,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-06-12 11:10:58,2024-06-12 13:25:13,Cerrado,5
229,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-06-12 14:35:47,2024-06-12 14:51:02,Cerrado,5
230,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-06-12 16:00:23,2024-06-12 17:35:48,Cerrado,2
231,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-06-13 09:20:38,2024-06-13 10:35:55,Cerrado,4
232,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-06-13 12:30:49,2024-06-13 13:55:16,Cerrado,3
233,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-06-14 15:15:24,2024-06-14 16:05:11,Cerrado,5
234,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-06-14 17:40:57,2024-06-14 19:55:22,Cerrado,1
235,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-06-15 08:55:42,2024-06-15 09:10:57,Cerrado,4
