id_incidencia,id_empleado,sucursal,ciudad,tipo_incidencia,id_cliente,tipo_cliente,fecha_creacion,fecha_finalizacion,estado,indice_satisfaccion
1,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-03-15 09:23:41,2024-03-15 10:15:22,Cerrado,4
2,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-03-15 10:45:12,2024-03-15 12:30:05,Cerrado,3
3,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-03-15 11:05:33,2024-03-15 11:20:18,Cerrado,5
4,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-03-15 13:42:19,2024-03-15 14:55:40,Cerrado,2
5,EMP005,Sucursal_B,Barcelona,Problema Software,CL005,Premium,2024-03-15 08:15:27,2024-03-15 09:05:14,Cerrado,4
6,EMP006,Sucursal_B,Barcelona,Fallo Hardware,CL006,Empresarial,2024-03-15 09:30:55,2024-03-15 11:45:33,Cerrado,3
7,EMP007,Sucursal_B,Barcelona,Consulta Factura,CL007,Basico,2024-03-15 10:20:41,2024-03-15 10:35:22,Cerrado,5
8,EMP008,Sucursal_B,Barcelona,Error Sistema,CL008,Premium,2024-03-15 12:18:03,2024-03-15 13:42:51,Cerrado,4
9,EMP009,Sucursal_C,Valencia,Problema Software,CL009,Empresarial,2024-03-15 09:55:37,2024-03-15 10:48:12,Cerrado,5
10,EMP010,Sucursal_C,Valencia,Fallo Hardware,CL010,Basico,2024-03-15 11:12:28,2024-03-15 13:25:47,Cerrado,2
11,EMP001,Sucursal_A,Madrid,Instalación Software,CL001,Premium,2024-03-15 14:30:15,2024-03-15 15:45:39,Cerrado,4
12,EMP002,Sucursal_A,Madrid,Configuración Red,CL002,Basico,2024-03-15 15:20:52,2024-03-15 16:40:11,Cerrado,3
13,EMP003,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-03-16 08:45:19,2024-03-16 09:30:27,Cerrado,5
